Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	HALF1	HALF2
1967	0.0	0.0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	 	 
1968	0.6	0.3	0.3	0.3	0.3	0.6	0.6	0.3	0.3	0.6	0.3	0.3	 	 
1969	0.3	0.6	0.8	0.6	0.3	0.5	0.5	0.5	0.3	0.5	0.5	0.5	 	 
1970	0.3	0.5	0.5	0.8	0.3	0.5	0.5	0.0	0.5	0.5	0.5	0.5	 	 
1971	0.0	0.3	0.3	0.3	0.5	0.7	0.2	0.2	0.0	0.2	0.0	0.5	 	 
1972	0.0	0.5	0.2	0.2	0.2	0.2	0.5	0.2	0.2	0.5	0.2	0.2	 	 
1973	0.2	0.7	0.9	0.7	0.7	0.7	0.2	1.8	0.2	0.9	0.7	0.7	 	 
1974	0.9	1.3	1.3	0.4	1.3	0.8	0.8	1.2	1.2	1.0	0.8	0.8	 	 
1975	0.4	0.8	0.4	0.4	0.6	0.8	1.1	0.2	0.6	0.5	0.7	0.4	 	 
1976	0.2	0.4	0.2	0.4	0.7	0.5	0.5	0.5	0.3	0.5	0.2	0.3	 	 
1977	0.5	1.0	0.7	0.8	0.5	0.7	0.5	0.3	0.3	0.3	0.5	0.3	 	 
1978	0.6	0.6	0.8	0.8	0.9	1.1	0.8	0.5	0.8	0.9	0.4	0.4	 	 
1979	0.9	1.2	1.0	1.1	1.3	1.1	1.1	1.0	1.1	0.8	0.9	1.1	 	 
1980	1.4	1.4	1.5	1.1	1.0	1.1	0.0	0.7	0.8	1.0	0.8	0.9	 	 
1981	0.8	1.0	0.7	0.7	0.8	0.9	1.1	0.8	1.0	0.2	0.3	0.3	 	 
1982	0.3	0.3	-0.1	0.4	0.9	1.3	0.5	0.2	0.2	0.3	-0.2	-0.4	 	 
1983	0.2	0.1	0.0	0.7	0.6	0.3	0.4	0.3	0.5	0.3	0.2	0.1	 	 
1984	0.6	0.5	0.2	0.5	0.3	0.3	0.4	0.4	0.5	0.3	0.0	0.0	 	 
1985	0.2	0.5	0.4	0.5	0.4	0.3	0.2	0.2	0.3	0.4	0.3	0.3	 	 
1986	0.3	-0.3	-0.5	-0.2	0.3	0.6	0.0	0.2	0.5	0.1	0.1	0.1	 	 
1987	0.6	0.4	0.4	0.5	0.4	0.4	0.3	0.5	0.5	0.3	0.1	0.0	 	 
1988	0.3	0.3	0.4	0.5	0.3	0.4	0.4	0.4	0.7	0.3	0.1	0.2	 	 
1989	0.5	0.4	0.6	0.7	0.6	0.2	0.2	0.2	0.3	0.5	0.2	0.2	 	 
1990	1.0	0.5	0.5	0.2	0.2	0.5	0.4	0.9	0.8	0.6	0.2	0.0	 	 
1991	0.6	0.1	0.1	0.1	0.3	0.3	0.1	0.3	0.4	0.1	0.3	0.1	 	 
1992	0.1	0.4	0.5	0.1	0.1	0.4	0.2	0.3	0.3	0.4	0.1	-0.1	 	 
1993	0.5	0.4	0.3	0.3	0.1	0.1	0.0	0.3	0.2	0.4	0.1	0.0	 	 
1994	0.3	0.3	0.3	0.1	0.1	0.3	0.3	0.4	0.3	0.1	0.1	0.0	 	 
1995	0.4	0.4	0.3	0.3	0.2	0.2	0.0	0.3	0.2	0.3	-0.1	-0.1	 	 
1996	0.6	0.3	0.5	0.4	0.2	0.1	0.2	0.2	0.3	0.3	0.2	0.0	 	 
1997	0.3	0.3	0.3	0.1	-0.1	0.1	0.1	0.2	0.2	0.2	-0.1	-0.1	 	 
1998	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.2	0.0	-0.1	 	 
1999	0.2	0.1	0.3	0.7	0.0	0.0	0.3	0.2	0.5	0.2	0.1	0.0	 	 
2000	0.3	0.6	0.8	0.1	0.1	0.5	0.2	0.0	0.5	0.2	0.1	-0.1	 	 
2001	0.6	0.4	0.2	0.4	0.5	0.2	-0.3	0.0	0.5	-0.3	-0.2	-0.4	 	 
2002	0.2	0.4	0.6	0.6	0.0	0.1	0.1	0.3	0.2	0.2	0.0	-0.2	 	 
2003	0.4	0.8	0.6	-0.2	-0.2	0.1	0.1	0.4	0.3	-0.1	-0.3	-0.1	 	 
2004	0.5	0.5	0.6	0.3	0.6	0.3	-0.2	0.1	0.2	0.5	0.1	-0.4	 	 
2005	0.2	0.6	0.8	0.7	-0.1	0.1	0.5	0.5	1.2	0.2	-0.8	-0.4	 	 
2006	0.8	0.2	0.6	0.9	0.5	0.2	0.3	0.2	-0.5	-0.5	-0.1	0.1	 	 
2007	0.3	0.5	0.9	0.6	0.6	0.2	0.0	-0.2	0.3	0.2	0.6	-0.1	 	 
2008	0.5	0.3	0.9	0.6	0.8	1.0	0.5	-0.4	-0.1	-1.0	-1.9	-1.0	 	 
2009	0.4	0.5	0.2	0.2	0.3	0.9	-0.2	0.2	0.1	0.1	0.1	-0.2	 	 
2010	0.3	0.0	0.4	0.2	0.1	-0.1	0.0	0.1	0.1	0.1	0.0	0.2	 	 
2011	0.5	0.5	1.0	0.6	0.5	-0.1	0.1	0.3	0.2	-0.2	-0.1	-0.2	 	 
2012	0.4	0.4	0.8	0.3	-0.1	-0.1	-0.2	0.6	0.4	0.0	-0.5	-0.3	 	 
2013	0.3	0.8	0.3	-0.1	0.2	0.2	0.0	0.1	0.1	-0.3	-0.2	0.0	 	 
2014	0.4	0.4	0.6	0.3	0.3	0.2	0.0	-0.2	0.1	-0.3	-0.5	-0.6	 	 
2015	-0.5	0.4	0.6	0.2	0.5	0.4	0.0	-0.1	-0.2	0.0	-0.2	-0.3	 	 
2016	0.2	0.1	0.4	0.5	0.4	0.3	-0.2	0.1	0.2	0.1	-0.2	0.0	 	 
2017	0.6	0.3	0.1	0.3	0.1	0.1	-0.1	0.3	0.5	-0.1	0.0	-0.1	 	 
2018	0.5	0.5	0.2	0.4	0.4	0.2	0.0	0.1	0.1	0.2	-0.3	-0.3	 	 
2019	0.2	0.4	0.6	0.5	0.2	0.0	0.2	0.0	0.1	0.2	-0.1	-0.1	 	 
2020	0.4	0.3	-0.2	-0.7	0.0	0.5	0.5	0.3	0.1	0.0	-0.1	0.1	 	 
2021	0.4	0.5	0.7	0.8	0.8	0.9	0.5	0.2	0.3	0.8	0.5	0.3	 	 
2022	0.8	0.9	1.3	0.6	1.1	1.4	0.0	0.0	0.2	 	 	 	 	
